x,y,z,qx,qy,qz,qw
0.06401964,0.12637267,0.042338323,-0.0,2.2143837e-05,0.8809765,0.4731599
0.06191531,0.12750234,0.021168998,-0.0,2.135972e-05,0.8809811,0.47315153
0.044029623,0.08195397,0.07732263,0.0,-0.9572621,0.19778252,0.21102455
0.0546383,0.10383398,0.07046331,0.0,-0.9572609,0.1977758,0.21103631
0.02584731,0.058190305,0.028028319,0.0,-0.0920454,-0.8814461,-0.4632283
0.029195638,0.059367638,0.056153312,0.0,-0.09205109,-0.88142145,-0.46327412
0.047665965,0.10460199,-6.466667e-05,-0.0,0.99528587,0.045867395,-0.08545327
0.03464398,0.08104298,-3.2333333e-05,-0.0,0.9952858,0.045867648,-0.08545376
0.033410642,0.06940498,0.03859664,0.0,0.09655387,-0.47072986,0.8769782
0.057041306,0.114843994,0.03170531,0.0,0.09654684,-0.47071242,0.87698835
0.06220764,0.12734532,-0.02113699,0.0,-2.121709e-05,0.8809811,0.47315148
0.06372732,0.12652966,-0.04237065,0.0,-2.2286487e-05,0.8809765,0.47316006
0.05493064,0.103677,-0.0704313,-0.0,0.9572607,0.19777563,0.2110374
0.043737303,0.08211098,-0.07735464,-0.0,0.9572621,0.19778198,0.2110252
0.02948796,0.05921064,-0.05612098,0.0,0.09205046,-0.88142145,-0.46327427
0.02555497,0.0583473,-0.028060326,0.0,0.09204602,-0.881446,-0.46322834
0.034936305,0.080885984,6.466667e-05,0.0,-0.99528587,0.045867465,-0.085453406
0.04737365,0.104758985,3.2333333e-05,0.0,-0.99528587,0.045867383,-0.08545327
0.034324642,0.07040131,-0.042042643,0.0,-0.09655506,-0.47071862,0.8769842
0.0579553,0.115840316,-0.035151314,0.0,-0.09654686,-0.47072124,0.87698364
0.787494,0.09648964,0.014131643,0.0,-0.64675474,-0.5445723,0.5339938
0.789227,0.08700032,0.0047106533,0.0,-0.6467498,-0.5445773,0.53399473
0.7239893,0.051666316,0.009271997,0.0,-0.6276749,-0.7497723,0.20944172
0.69111633,0.040558632,0.00669666,0.0,-0.5298973,-0.8341583,0.15293385
0.629952,0.06399864,0.067773,0.0,-0.44454512,-0.88856137,0.11330673
0.64792365,0.07387898,0.080265656,0.0,-0.41954637,-0.8712454,0.2547792
0.599178,0.06996232,0.091600664,0.0,-0.3653461,-0.917819,0.15534002
0.5717034,0.061163645,0.075234324,0.0,-0.38350177,-0.92312473,0.02770004
0.74591064,0.08413597,0.03497896,0.0,-0.6359672,-0.6349864,0.4385636
0.7596667,0.090098955,0.030491963,0.0,-0.61440647,-0.6043099,0.50726163
0.654214,0.0659853,0.062123656,0.0,-0.48100555,-0.86216176,0.15909356
0.6709257,0.071933635,0.06556398,0.0,-0.4634731,-0.84826607,0.25619784
0.67993695,0.081546985,0.077192985,0.0,-0.49735257,-0.80337346,0.32746217
0.7019737,0.08048065,0.060785305,0.0,-0.49611595,-0.8020355,0.33257797
0.71685266,0.08672299,0.059238985,0.0,-0.5842629,-0.69094145,0.42571917
0.73822165,0.08964932,0.04649931,0.0,-0.57146186,-0.67424464,0.46778792
0.56348467,0.034834977,0.00932566,0.0,-0.39078152,-0.91949284,-0.04269302
